,Location,Period,"Medical Doctors per 10,000","Nurses and Midwifes per 10,000","Pharmacists per 10,000","Dentists per 10,000"
950,Tajikistan,2013,16.77,43.87,2.08,1.47
951,Türkiye,2013,17.51,25.26,3.54,2.92
952,Chile,2013,18.68,21.52,3.43,8.14
953,Colombia,2013,18.84,10.77,1.27,13.12
954,Bosnia and Herzegovina,2013,19.97,57.89,1.19,2.24
955,Turkmenistan,2013,19.99,40.17,1.53,1.03
956,Oman,2013,20.01,44.16,4.67,2.29
957,Singapore,2013,20.34,56.43,4.06,3.35
958,United Arab Emirates,2013,20.45,39.23,4.83,4.06
959,Montenegro,2013,21.29,53.33,1.66,0.4
960,Republic of Korea,2013,21.75,52.55,6.5,4.49
961,Poland,2013,22.28,58.4,7.17,3.22
962,Kyrgyzstan,2013,22.36,59.06,0.55,1.69
963,Lebanon,2013,23.15,15.77,12.19,9.18
964,Cyprus,2013,23.26,37.34,1.58,7.0
965,Jordan,2013,23.4,36.61,14.56,8.51
966,Uzbekistan,2013,24.21,114.05,0.38,1.6
967,Costa Rica,2013,25.56,21.79,7.76,10.03
968,Romania,2013,26.33,61.57,8.09,7.1
969,Slovenia,2013,26.34,83.92,5.78,6.5
970,United Kingdom of Great Britain and Northern Ireland,2013,27.02,83.96,7.97,5.23
971,New Zealand,2013,28.22,105.73,6.58,6.15
972,Luxembourg,2013,28.3,123.0,7.03,8.47
973,Armenia,2013,28.78,51.57,0.51,4.16
974,North Macedonia,2013,28.83,43.35,4.62,8.47
975,Nigeria,2013,3.63,9.73,0.99,0.22
976,Croatia,2013,30.42,62.26,7.03,7.6
977,Serbia,2013,30.58,62.45,3.28,3.29
978,Republic of Moldova,2013,30.6,65.59,5.58,5.14
979,Belgium,2013,31.31,109.02,11.9,7.14
980,France,2013,31.56,87.84,9.63,6.53
981,Andorra,2013,31.65,41.89,8.38,7.45
982,Latvia,2013,31.9,50.8,8.01,7.25
983,Hungary,2013,32.1,65.99,7.61,6.03
984,Netherlands (Kingdom of the),2013,32.82,123.15,2.1,4.9
985,Estonia,2013,33.35,59.63,6.59,9.03
986,Australia,2013,33.56,119.49,8.24,5.62
987,Finland,2013,33.86,116.31,10.31,7.2
988,Slovakia,2013,33.93,60.81,6.16,4.78
989,Azerbaijan,2013,34.13,65.59,2.05,2.58
990,Israel,2013,34.72,52.9,6.88,6.97
991,Iceland,2013,36.06,162.61,4.72,8.4
992,Czechia,2013,36.89,84.13,6.07,7.07
993,Spain,2013,37.91,52.93,11.12,6.92
994,Kazakhstan,2013,38.32,77.83,7.88,3.65
995,Italy,2013,38.73,52.93,11.29,7.76
996,Ireland,2013,39.27,125.52,11.34,5.73
997,Belarus,2013,39.39,108.06,3.45,5.49
998,Bulgaria,2013,39.53,49.19,7.66,9.72
999,Russian Federation,2013,39.87,42.47,0.53,2.89
1000,Jamaica,2013,4.8,14.74,0.27,0.13
1001,Germany,2013,40.15,107.6,6.35,8.45
1002,Switzerland,2013,40.39,162.14,6.46,5.2
1003,Sweden,2013,40.43,117.18,7.6,8.17
1004,Lithuania,2013,42.76,78.51,10.38,9.05
1005,Norway,2013,43.06,172.1,6.9,8.73
1006,Portugal,2013,43.99,62.93,7.71,8.48
1007,Georgia,2013,47.99,40.22,0.9,5.29
1008,Argentina,2013,48.84,27.28,5.9,10.85
1009,Tonga,2013,5.14,38.1,0.37,1.12
1010,Philippines,2013,5.74,42.42,2.82,2.24
1011,Austria,2013,50.18,69.35,6.98,5.96
1012,Greece,2013,58.11,35.36,10.45,12.68
1013,Malta,2013,58.67,73.54,10.95,4.6
1014,Denmark,2013,63.11,113.5,5.07,7.83
1015,Sri Lanka,2013,7.72,17.8,0.63,0.6
1016,Monaco,2013,81.07,196.05,27.4,10.73
1017,Ukraine,2013,81.43,74.32,0.41,6.71
1018,Bahrain,2013,9.98,26.19,1.54,1.07
1019,United Republic of Tanzania,2012,0.31,4.39,0.07,0.02
1020,Burkina Faso,2012,0.46,6.09,0.12,0.02
1021,Mozambique,2012,0.56,4.15,0.03,0.03
1022,Zimbabwe,2012,0.77,11.24,0.27,0.17
1023,Madagascar,2012,1.36,2.07,0.0,0.08
1024,Solomon Islands,2012,1.5,16.84,1.06,0.38
1025,Cambodia,2012,1.63,9.13,0.33,0.15
1026,Kenya,2012,1.84,14.07,0.47,0.22
1027,Vanuatu,2012,1.85,18.44,1.17,0.68
1028,Bahrain,2012,10.23,26.51,1.69,1.14
1029,Peru,2012,11.39,15.24,0.52,1.51
1030,Malaysia,2012,13.05,37.26,3.25,1.54
1031,Mauritius,2012,13.36,28.99,3.35,2.34
1032,Brunei Darussalam,2012,14.69,81.68,1.26,2.32
1033,Tajikistan,2012,16.97,43.2,1.93,1.49
1034,Türkiye,2012,17.26,25.05,3.53,2.85
1035,Chile,2012,17.35,18.36,2.97,7.02
1036,United Arab Emirates,2012,18.01,36.7,2.35,4.19
1037,Colombia,2012,18.14,10.16,1.22,12.56
1038,Bosnia and Herzegovina,2012,19.14,57.88,1.15,2.38
1039,Singapore,2012,19.32,55.57,3.74,2.97
1040,Oman,2012,19.89,44.06,4.67,2.27
1041,Montenegro,2012,20.14,48.78,1.47,0.4
1042,Turkmenistan,2012,20.29,40.78,1.53,1.06
1043,Republic of Korea,2012,20.99,49.07,6.57,4.41
1044,Poland,2012,22.23,83.79,7.02,3.27
1045,Kyrgyzstan,2012,22.33,58.56,0.5,1.71
1046,Cyprus,2012,22.36,35.23,1.67,7.0
1047,Saudi Arabia,2012,22.73,51.62,5.76,3.7
1048,Japan,2012,22.83,107.31,16.08,7.79
1049,Uzbekistan,2012,24.61,114.69,0.38,1.61
1050,Slovenia,2012,25.46,82.36,5.65,6.31
1051,Romania,2012,25.98,59.57,7.62,6.84
1052,United Kingdom of Great Britain and Northern Ireland,2012,26.9,83.95,7.78,5.2
1053,New Zealand,2012,27.13,105.89,6.49,6.04
1054,Luxembourg,2012,28.07,122.89,7.16,8.31
1055,North Macedonia,2012,28.39,42.47,4.38,8.15
1056,Armenia,2012,28.59,52.2,0.43,4.41
1057,Belgium,2012,29.33,106.05,11.73,7.08
1058,Croatia,2012,29.99,60.73,7.05,7.57
1059,Lao People's Democratic Republic,2012,3.21,8.56,1.82,0.49
1060,Jamaica,2012,3.63,15.5,0.25,0.13
1061,Bangladesh,2012,3.9,1.98,0.6,0.31
1062,Serbia,2012,30.47,62.14,3.25,3.36
1063,Mongolia,2012,30.75,38.22,5.28,2.85
1064,Hungary,2012,30.9,65.0,5.73,5.66
1065,Andorra,2012,31.12,39.71,8.33,6.9
1066,France,2012,31.39,90.38,9.63,6.5
1067,Latvia,2012,31.44,50.54,6.89,7.1
1068,Netherlands (Kingdom of the),2012,32.23,121.87,2.04,4.9
1069,Estonia,2012,32.84,64.61,6.4,9.04
1070,Australia,2012,32.93,101.66,7.48,5.59
1071,Slovakia,2012,33.66,61.51,6.52,4.93
1072,Azerbaijan,2012,34.49,67.19,1.78,2.63
1073,Israel,2012,35.03,52.41,7.84,7.06
1074,Finland,2012,35.56,114.18,10.32,7.36
1075,Iceland,2012,35.6,159.57,4.65,8.42
1076,Czechia,2012,36.76,84.86,6.02,7.1
1077,Kazakhstan,2012,37.86,78.06,7.82,4.0
1078,Spain,2012,38.04,53.85,10.46,6.63
1079,Italy,2012,38.1,53.25,9.53,6.53
1080,Bulgaria,2012,38.68,48.31,7.6,9.48
1081,Belarus,2012,38.85,108.62,3.41,5.49
1082,Switzerland,2012,39.15,158.76,6.66,5.23
1083,Germany,2012,39.22,104.06,6.24,8.4
1084,Ireland,2012,39.49,129.83,10.88,5.79
1085,Sweden,2012,39.67,116.93,7.71,8.2
1086,Marshall Islands,2012,4.67,36.38,0.78,0.78
1087,Russian Federation,2012,40.03,41.36,0.53,2.93
1088,Lithuania,2012,42.18,78.92,10.21,8.99
1089,Norway,2012,42.32,170.69,6.71,8.65
1090,Portugal,2012,42.41,62.21,7.37,8.05
1091,Georgia,2012,47.5,39.4,0.79,5.23
1092,Argentina,2012,48.23,24.9,5.84,10.58
1093,Austria,2012,49.27,68.86,6.91,5.92
1094,Philippines,2012,5.64,40.61,2.72,2.24
1095,Malta,2012,55.67,69.67,10.64,4.45
1096,Greece,2012,57.78,35.81,10.13,12.86
1097,Denmark,2012,62.69,112.37,4.99,7.97
1098,South Africa,2012,7.15,10.92,2.54,1.03
1099,Sri Lanka,2012,7.42,17.77,0.65,0.58
1100,Pakistan,2012,7.75,3.95,1.2,0.61
1101,Monaco,2012,73.2,189.34,27.67,10.66
1102,Ukraine,2012,81.33,73.9,0.39,6.64
1103,Seychelles,2012,9.35,42.11,0.4,1.41
1104,Burundi,2011,0.37,6.15,0.02,0.0
1105,Mozambique,2011,0.54,4.02,0.02,0.03
1106,Cameroon,2011,0.91,9.47,0.08,0.03
1107,Congo,2011,1.14,17.06,0.54,0.29
1108,Kiribati,2011,1.36,37.25,0.36,0.27
1109,Madagascar,2011,1.37,2.08,0.0,0.08
1110,Haiti,2011,1.4,12.09,0.09,0.05
1111,Solomon Islands,2011,1.97,17.49,0.8,0.65
1112,Bahrain,2011,10.01,26.45,1.6,1.05
1113,Malaysia,2011,12.55,34.36,2.96,1.46
1114,Ecuador,2011,13.82,20.64,0.53,2.73
1115,Nauru,2011,13.86,69.31,1.98,0.99
1116,Mauritius,2011,14.07,28.53,3.17,2.08
1117,China,2011,14.85,16.5,2.68,0.88
1118,Brunei Darussalam,2011,15.22,78.57,1.2,2.38
1119,Chile,2011,15.75,15.27,2.67,5.9
1120,Tajikistan,2011,16.93,39.91,1.84,1.53
1121,Türkiye,2011,16.98,23.83,3.52,2.84
1122,Trinidad and Tobago,2011,17.43,31.39,4.66,2.46
1123,Colombia,2011,17.54,9.52,1.14,12.11
1124,United Arab Emirates,2011,17.86,35.49,0.7,4.17
1125,Bosnia and Herzegovina,2011,18.39,54.88,1.05,2.16
1126,Singapore,2011,18.61,52.02,3.88,2.85
1127,Montenegro,2011,19.9,50.64,1.45,0.38
1128,Cambodia,2011,2.24,8.63,0.4,0.2
1129,Oman,2011,20.57,46.28,4.41,2.36
1130,Republic of Korea,2011,20.63,48.1,6.85,4.36
1131,Turkmenistan,2011,20.79,41.09,1.56,1.06
1132,Poland,2011,22.04,58.51,6.88,3.41
1133,Cyprus,2011,22.06,36.18,1.66,6.83
1134,Bahamas,2011,22.33,39.23,5.43,2.26
1135,Kyrgyzstan,2011,22.55,57.59,0.32,1.71
1136,Saudi Arabia,2011,22.7,51.57,5.87,3.82
1137,Slovenia,2011,25.0,84.02,5.52,6.25
1138,Uzbekistan,2011,25.17,114.85,0.38,1.69
1139,Romania,2011,25.22,58.24,7.14,6.57
1140,New Zealand,2011,26.55,107.04,6.44,5.98
1141,United Kingdom of Great Britain and Northern Ireland,2011,26.82,86.52,7.57,5.23
1142,North Macedonia,2011,27.69,42.58,3.83,7.95
1143,Luxembourg,2011,27.77,116.29,7.21,8.41
1144,Armenia,2011,28.22,52.14,0.41,4.44
1145,Republic of Moldova,2011,28.28,64.73,5.27,4.7
1146,Mongolia,2011,28.93,36.95,4.68,2.38
1147,Belgium,2011,29.15,103.67,11.64,7.05
1148,Croatia,2011,29.18,59.53,6.94,7.39
1149,Hungary,2011,29.66,64.0,5.77,5.26
1150,Bangladesh,2011,3.73,1.88,0.6,0.31
1151,Botswana,2011,3.95,28.05,2.07,0.27
1152,Serbia,2011,30.43,62.33,3.2,3.46
1153,Netherlands (Kingdom of the),2011,31.03,119.64,2.06,4.88
1154,France,2011,31.24,87.47,9.53,6.49
1155,Latvia,2011,31.34,51.51,6.59,7.07
1156,Andorra,2011,31.36,38.82,8.23,7.07
1157,Estonia,2011,32.94,65.27,6.27,8.88
1158,Australia,2011,32.96,108.4,6.77,5.37
1159,Slovakia,2011,33.07,62.76,6.27,4.85
1160,Azerbaijan,2011,33.97,68.77,1.79,2.59
1161,Iceland,2011,35.04,156.88,4.92,8.87
1162,Israel,2011,35.2,52.21,7.76,7.85
1163,Finland,2011,35.43,111.38,9.99,7.31
1164,Czechia,2011,36.37,84.61,5.93,7.08
1165,Belarus,2011,37.94,105.4,3.27,5.41
1166,Spain,2011,38.14,53.55,9.31,6.19
1167,Kazakhstan,2011,38.15,76.53,7.74,3.83
1168,Switzerland,2011,38.32,154.55,6.64,5.21
1169,Italy,2011,38.35,54.12,9.54,5.83
1170,Bulgaria,2011,38.38,47.26,7.53,9.13
1171,Germany,2011,38.49,103.39,6.27,8.28
1172,Sweden,2011,38.88,116.44,7.72,8.18
1173,Bolivia (Plurinational State of),2011,4.61,9.8,0.64,1.09
1174,Lithuania,2011,40.97,78.3,9.86,8.21
1175,Ireland,2011,41.04,133.99,10.47,5.82
1176,Portugal,2011,41.23,61.08,7.51,7.68
1177,Norway,2011,41.88,169.37,6.45,8.84
1178,Russian Federation,2011,42.2,69.62,0.57,2.91
1179,Georgia,2011,47.47,41.52,0.86,4.51
1180,Austria,2011,48.75,68.55,6.79,5.87
1181,Philippines,2011,5.54,37.1,2.64,2.27
1182,Cabo Verde,2011,5.71,10.62,0.06,0.06
1183,Malta,2011,53.09,69.5,7.89,4.38
1184,Greece,2011,57.74,37.06,10.11,13.07
1185,Denmark,2011,61.82,111.58,4.83,8.02
1186,South Africa,2011,7.09,10.46,2.42,1.02
1187,Sri Lanka,2011,7.18,17.7,0.64,0.55
1188,Monaco,2011,73.75,179.94,27.43,11.21
1189,Ukraine,2011,82.72,73.6,0.38,6.53
1190,Sierra Leone,2010,0.22,1.48,0.05,0.01
1191,Burkina Faso,2010,0.44,5.34,0.11,0.02
1192,Burundi,2010,0.45,6.37,0.03,0.0
1193,Mozambique,2010,0.5,4.13,0.02,0.03
1194,Zambia,2010,0.6,7.11,0.23,0.18
1195,Cameroon,2010,0.87,5.45,0.02,0.03
1196,Mali,2010,0.96,4.21,0.09,0.02
1197,Kenya,2010,1.71,7.13,0.74,0.22
1198,Madagascar,2010,1.86,2.13,0.0,0.09
1199,Seychelles,2010,10.53,43.37,0.42,2.0
1200,Malaysia,2010,11.51,32.37,2.71,1.33
1201,Mauritius,2010,11.69,28.07,3.12,2.03
1202,Tunisia,2010,12.07,22.14,3.01,2.91
1203,Syrian Arab Republic,2010,13.88,17.82,7.36,7.11
1204,Chile,2010,14.23,12.58,2.62,5.57
1205,Brunei Darussalam,2010,14.35,74.1,1.1,2.19
1206,Maldives,2010,14.55,51.77,6.85,0.89
1207,Colombia,2010,16.66,8.97,1.09,11.62
1208,Tajikistan,2010,16.7,38.87,1.76,1.58
1209,Türkiye,2010,16.83,22.51,3.61,2.92
1210,Trinidad and Tobago,2010,17.32,28.16,4.62,2.47
1211,Bosnia and Herzegovina,2010,17.49,53.34,0.97,2.09
1212,United Arab Emirates,2010,17.49,32.69,2.2,4.44
1213,Singapore,2010,17.79,57.79,3.57,3.09
1214,Cambodia,2010,2.27,8.45,0.38,0.17
1215,Mexico,2010,20.07,24.22,0.49,1.16
1216,Republic of Korea,2010,20.16,47.12,6.59,4.29
1217,Montenegro,2010,20.19,52.18,1.44,0.41
1218,Turkmenistan,2010,20.79,41.26,1.67,1.05
1219,Oman,2010,21.26,46.66,4.54,2.37
1220,Cyprus,2010,21.27,34.99,1.61,6.85
1221,Poland,2010,21.84,58.64,6.62,3.29
1222,Japan,2010,22.12,103.03,15.42,7.7
1223,Jordan,2010,22.22,35.17,12.54,7.8
1224,Saudi Arabia,2010,22.44,51.59,5.93,3.64
1225,Lebanon,2010,22.98,17.44,10.93,10.7
1226,Kyrgyzstan,2010,23.1,55.75,0.31,1.86
1227,Slovenia,2010,24.35,82.52,5.39,6.16
1228,Romania,2010,24.85,57.22,6.62,6.34
1229,Uzbekistan,2010,25.55,114.32,0.38,1.65
1230,New Zealand,2010,26.25,106.3,6.33,5.88
1231,United Kingdom of Great Britain and Northern Ireland,2010,26.45,88.59,6.45,5.13
1232,North Macedonia,2010,27.01,42.32,3.37,7.79
1233,Republic of Moldova,2010,27.43,63.54,4.9,4.52
1234,Luxembourg,2010,27.71,114.03,7.37,8.32
1235,Mongolia,2010,27.75,36.56,4.35,1.97
1236,Armenia,2010,27.9,51.44,0.42,4.29
1237,Croatia,2010,28.61,58.13,6.63,7.34
1238,Hungary,2010,28.75,63.97,5.83,5.27
1239,Belgium,2010,29.09,100.95,11.55,7.02
1240,Netherlands (Kingdom of the),2010,29.36,118.13,1.97,4.68
1241,Andorra,2010,29.49,38.41,7.81,6.57
1242,Bangladesh,2010,3.52,1.77,0.8,0.29
1243,Kiribati,2010,3.77,37.17,0.37,0.37
1244,Thailand,2010,3.83,20.23,1.27,1.73
1245,Serbia,2010,30.17,61.41,3.04,3.42
1246,Latvia,2010,31.07,51.972,6.83,7.09
1247,Estonia,2010,32.44,64.02,6.32,9.0
1248,Australia,2010,33.45,104.08,8.69,5.18
1249,France,2010,33.45,85.71,11.56,6.8
1250,Slovakia,2010,33.59,64.21,6.06,4.94
1251,Finland,2010,34.4,107.93,10.05,7.33
1252,Belarus,2010,35.11,105.36,2.88,5.36
1253,Israel,2010,35.15,51.11,7.81,8.68
1254,Iceland,2010,35.89,153.21,4.87,9.4
1255,Czechia,2010,35.99,85.28,5.79,6.94
1256,Azerbaijan,2010,36.17,72.59,2.0,2.7
1257,Spain,2010,37.37,52.83,9.18,5.94
1258,Bulgaria,2010,37.47,47.1,7.53,8.71
1259,Germany,2010,37.57,102.44,6.26,8.22
1260,Italy,2010,37.63,54.39,8.62,5.66
1261,Kazakhstan,2010,37.91,74.53,6.69,3.95
1262,Sweden,2010,38.08,116.14,7.62,8.11
1263,Switzerland,2010,38.08,149.26,6.36,5.25
1264,Lithuania,2010,39.47,76.58,9.28,7.93
1265,Portugal,2010,39.82,59.02,7.25,7.66
1266,Bolivia (Plurinational State of),2010,4.33,8.22,0.56,0.96
1267,Norway,2010,41.14,166.55,6.38,8.78
1268,Ireland,2010,41.28,134.51,10.02,5.97
1269,Georgia,2010,46.79,41.56,0.91,3.23
1270,Austria,2010,48.27,67.57,6.67,5.81
1271,Russian Federation,2010,49.73,70.05,0.58,2.88
1272,Tonga,2010,5.4,37.24,0.37,0.93
1273,Philippines,2010,5.43,26.47,2.58,2.25
1274,Cabo Verde,2010,5.73,10.65,0.08,0.08
1275,Malta,2010,51.36,67.14,7.12,4.35
1276,Greece,2010,57.56,36.84,10.03,13.18
1277,Marshall Islands,2010,6.15,24.42,0.39,0.77
1278,Denmark,2010,60.96,111.43,4.74,8.19
1279,Ukraine,2010,82.74,73.65,0.39,6.49
1280,Bahrain,2010,9.71,25.16,1.62,1.01
1281,Niger,2009,0.28,2.03,0.01,0.01
1282,Central African Republic,2009,0.45,2.42,0.02,0.01
1283,Mozambique,2009,0.47,4.04,0.02,0.02
1284,Zambia,2009,0.59,7.04,0.23,0.18
1285,Cameroon,2009,0.7,3.99,0.01,0.02
1286,Guinea-Bissau,2009,0.81,6.83,0.06,0.05
1287,Democratic Republic of the Congo,2009,0.88,3.85,0.04,0.01
1288,Zimbabwe,2009,1.15,9.05,0.52,0.14
1289,Mali,2009,1.16,4.19,0.08,0.03
1290,Cabo Verde,2009,1.36,9.8,0.06,0.06
1291,Mauritania,2009,1.36,7.01,0.23,0.21
1292,Kenya,2009,1.71,3.95,0.72,0.25
1293,Madagascar,2009,1.73,2.32,0.0,0.08
1294,Comoros,2009,1.99,7.37,0.28,0.33
1295,Malaysia,2009,10.86,29.8,2.41,1.27
1296,Mauritius,2009,11.53,27.37,3.02,1.96
1297,Brunei Darussalam,2009,11.56,51.07,1.09,1.87
1298,Ecuador,2009,12.16,18.73,0.45,2.27
1299,Syrian Arab Republic,2009,13.62,17.78,7.81,7.19
1300,Trinidad and Tobago,2009,14.44,33.25,4.61,2.26
1301,Cook Islands,2009,14.55,70.3,0.61,2.42
1302,Maldives,2009,15.1,53.0,5.91,1.29
1303,Tajikistan,2009,16.16,35.37,1.64,1.51
1304,Colombia,2009,16.17,8.51,1.03,11.26
1305,Türkiye,2009,16.37,21.33,3.48,2.84
1306,Bosnia and Herzegovina,2009,16.74,51.13,0.94,1.75
1307,Singapore,2009,16.75,53.92,3.34,2.94
1308,United Arab Emirates,2009,17.92,34.52,7.73,4.29
1309,Libya,2009,18.86,67.51,3.57,5.96
1310,Kuwait,2009,19.1,48.49,3.18,3.77
1311,Saudi Arabia,2009,19.37,45.78,6.17,3.03
1312,Republic of Korea,2009,19.5,45.52,6.59,4.21
1313,Guyana,2009,2.143,13.15,0.2,0.39
1314,Cambodia,2009,2.35,8.44,0.38,0.17
1315,Cyprus,2009,20.46,34.3,1.61,6.82
1316,Jordan,2009,20.55,33.77,11.77,6.14
1317,Montenegro,2009,20.72,55.06,1.46,0.57
1318,Oman,2009,20.72,45.08,4.05,2.32
1319,Turkmenistan,2009,21.05,41.37,1.75,1.29
1320,Poland,2009,21.79,58.59,6.38,3.2
1321,Kyrgyzstan,2009,23.13,56.14,0.29,1.92
1322,Slovenia,2009,24.15,80.86,5.24,6.07
1323,Romania,2009,24.49,61.45,5.78,6.05
1324,New Zealand,2009,25.8,103.0,6.19,4.49
1325,Uzbekistan,2009,25.82,112.24,0.36,1.6
1326,North Macedonia,2009,26.03,41.12,3.3,6.92
1327,United Kingdom of Great Britain and Northern Ireland,2009,26.42,89.57,6.34,5.02
1328,Mongolia,2009,26.79,36.34,4.08,1.98
1329,Luxembourg,2009,27.08,114.61,7.21,8.19
1330,Republic of Moldova,2009,27.09,62.2,4.78,4.3
1331,Armenia,2009,27.14,50.79,0.37,4.23
1332,Croatia,2009,27.41,56.14,6.2,7.64
1333,Netherlands (Kingdom of the),2009,28.96,117.12,1.95,4.59
1334,Belgium,2009,29.2,99.25,11.51,7.08
1335,Serbia,2009,29.73,60.91,2.98,3.43
1336,Thailand,2009,3.33,16.12,1.23,1.46
1337,Bangladesh,2009,3.43,1.66,0.55,0.26
1338,Botswana,2009,3.48,29.22,0.54,0.28
1339,Nigeria,2009,3.6,10.25,0.89,0.15
1340,Hungary,2009,30.27,63.97,5.73,4.92
1341,Australia,2009,31.04,107.34,10.7,5.26
1342,Latvia,2009,31.53,51.02,6.36,7.05
1343,Andorra,2009,31.7,37.07,9.3,6.08
1344,Estonia,2009,32.81,64.48,6.42,8.96
1345,Slovakia,2009,33.05,64.02,5.42,4.89
1346,France,2009,33.39,84.02,11.95,6.83
1347,Israel,2009,35.26,51.33,6.98,8.47
1348,Spain,2009,35.77,50.83,9.33,5.73
1349,Czechia,2009,35.84,85.28,5.68,6.81
1350,Azerbaijan,2009,36.26,79.98,1.83,2.72
1351,Iceland,2009,36.47,160.73,5.12,9.23
1352,Kazakhstan,2009,36.5,73.68,7.36,3.42
1353,Germany,2009,36.62,101.69,6.16,8.12
1354,Belarus,2009,37.13,104.2,3.21,5.45
1355,Bulgaria,2009,37.33,47.08,7.48,8.72
1356,Italy,2009,37.39,54.66,8.87,5.19
1357,Sweden,2009,37.49,115.35,7.54,8.08
1358,Finland,2009,37.75,105.45,10.02,7.4
1359,Switzerland,2009,38.36,141.67,6.35,5.21
1360,Lithuania,2009,38.54,76.42,8.75,7.42
1361,Portugal,2009,38.58,56.35,7.06,7.33
1362,Fiji,2009,4.1,21.57,0.84,1.89
1363,Ireland,2009,40.04,129.31,9.82,5.96
1364,Norway,2009,40.48,164.47,6.25,8.68
1365,Georgia,2009,44.38,40.95,0.88,2.77
1366,Austria,2009,47.22,66.95,6.53,5.74
1367,Malta,2009,48.62,64.45,5.44,4.25
1368,Russian Federation,2009,49.44,70.49,0.64,2.85
1369,Tonga,2009,5.78,35.26,0.37,1.03
1370,Greece,2009,57.91,35.95,9.71,13.3
1371,Denmark,2009,59.63,110.94,4.54,8.07
1372,Morocco,2009,6.46,9.27,2.81,0.83
1373,Ukraine,2009,82.66,74.38,0.37,6.37
1374,Peru,2009,9.44,13.04,0.63,1.24
1375,Bahrain,2009,9.71,25.26,1.57,1.0
1376,Liberia,2008,0.13,2.56,0.02,0.01
1377,Malawi,2008,0.18,2.79,0.21,0.12
1378,Niger,2008,0.19,1.38,0.01,0.01
1379,Guinea-Bissau,2008,0.52,6.4,0.07,0.01
1380,Togo,2008,0.55,2.85,0.02,0.02
1381,Benin,2008,0.59,7.73,0.02,0.04
1382,Senegal,2008,0.62,4.36,0.09,0.09
1383,Ghana,2008,0.77,9.42,0.23,0.02
1384,Gambia,2008,0.96,7.76,0.07,0.07
1385,Vanuatu,2008,1.15,16.75,0.09,0.13
1386,Cote d'Ivoire,2008,1.28,4.29,0.19,0.13
1387,Kenya,2008,1.69,3.59,0.73,0.25
1388,Madagascar,2008,1.78,2.69,0.0,0.1
1389,Afghanistan,2008,1.83,5.2,0.31,0.14
1390,Mauritius,2008,11.38,26.68,2.73,1.84
1391,Syrian Arab Republic,2008,14.19,17.6,7.66,7.47
1392,Brunei Darussalam,2008,14.93,51.38,1.19,2.17
1393,Colombia,2008,15.63,8.02,0.97,10.76
1394,Türkiye,2008,15.81,20.62,3.46,2.79
1395,Bosnia and Herzegovina,2008,15.9,49.36,0.92,1.71
1396,Singapore,2008,16.31,50.37,3.22,2.94
1397,Niue,2008,16.67,88.89,5.56,11.11
1398,Libya,2008,17.9,53.71,3.58,3.28
1399,United Arab Emirates,2008,18.45,31.7,4.92,3.37
1400,Republic of Korea,2008,18.72,44.13,6.54,4.08
1401,Kuwait,2008,18.84,46.84,3.03,3.63
1402,Tajikistan,2008,18.95,34.95,1.52,1.46
1403,Saudi Arabia,2008,19.71,43.5,6.81,2.98
1404,Oman,2008,19.78,42.77,3.62,2.12
1405,Cambodia,2008,2.41,8.35,0.41,0.18
1406,Cyprus,2008,20.07,32.71,1.54,6.81
1407,Montenegro,2008,20.73,54.5,1.56,0.71
1408,Jordan,2008,20.85,27.73,11.04,7.29
1409,Turkmenistan,2008,21.26,41.94,1.82,1.3
1410,Japan,2008,21.46,97.69,14.52,7.55
1411,Poland,2008,21.69,57.95,6.2,3.43
1412,Kyrgyzstan,2008,23.14,56.12,0.24,1.87
1413,Slovenia,2008,23.97,79.05,4.8,6.01
