,Location,Period,"Medical Doctors per 10,000","Nurses and Midwifes per 10,000","Pharmacists per 10,000","Dentists per 10,000"
1414,Romania,2008,24.26,59.84,5.59,5.72
1415,New Zealand,2008,24.63,103.24,6.1,4.49
1416,United Kingdom of Great Britain and Northern Ireland,2008,25.59,91.23,6.27,4.94
1417,North Macedonia,2008,25.9,40.0,3.13,6.67
1418,Uzbekistan,2008,26.17,111.88,0.34,1.64
1419,Republic of Moldova,2008,26.23,61.17,4.71,4.2
1420,Bahamas,2008,26.45,38.84,3.85,2.21
1421,Armenia,2008,26.95,51.06,0.36,4.04
1422,Luxembourg,2008,27.16,114.38,7.04,8.14
1423,Croatia,2008,27.35,57.33,6.12,7.63
1424,Netherlands (Kingdom of the),2008,28.44,84.78,1.91,4.46
1425,Mongolia,2008,28.79,36.46,4.13,1.95
1426,Belgium,2008,29.21,98.18,11.77,7.16
1427,Serbia,2008,29.43,61.16,2.91,3.46
1428,Thailand,2008,3.11,15.59,1.27,1.43
1429,Sudan,2008,3.22,9.65,0.12,0.23
1430,Bangladesh,2008,3.3,1.57,0.54,0.23
1431,Nigeria,2008,3.59,14.27,0.84,0.16
1432,Botswana,2008,3.67,28.8,0.68,0.09
1433,Hungary,2008,30.97,63.33,5.76,5.06
1434,Democratic People's Republic of Korea,2008,32.28,40.69,3.48,1.74
1435,Latvia,2008,32.33,57.69,6.15,6.96
1436,Malta,2008,32.79,66.42,13.39,4.37
1437,Estonia,2008,33.42,67.15,6.45,9.25
1438,Slovakia,2008,33.69,66.07,5.16,5.1
1439,France,2008,33.85,81.64,11.86,6.9
1440,Israel,2008,35.2,52.58,6.54,8.28
1441,Spain,2008,35.23,49.49,9.88,5.56
1442,Czechia,2008,35.58,83.9,5.65,6.72
1443,Belarus,2008,35.78,102.86,3.15,5.37
1444,Germany,2008,35.84,99.49,6.15,8.01
1445,Kazakhstan,2008,35.88,68.57,7.84,3.43
1446,Azerbaijan,2008,36.35,80.51,1.68,2.78
1447,Iceland,2008,36.41,156.72,5.17,9.48
1448,Sweden,2008,36.81,115.17,7.76,8.14
1449,Italy,2008,37.4,54.7,10.0,4.8
1450,Finland,2008,37.42,102.67,10.01,7.56
1451,Portugal,2008,37.52,53.68,6.56,6.8
1452,Switzerland,2008,38.2,138.88,6.31,5.22
1453,Lithuania,2008,38.81,77.58,8.51,6.9
1454,Ireland,2008,39.52,135.64,9.95,6.05
1455,Norway,2008,39.55,160.97,6.06,8.79
1456,Jamaica,2008,4.05,10.75,0.35,0.17
1457,Samoa,2008,4.47,18.31,0.84,0.89
1458,Georgia,2008,42.05,41.39,0.8,2.96
1459,Austria,2008,46.27,65.77,6.4,5.65
1460,Russian Federation,2008,48.94,70.57,0.63,2.88
1461,Greece,2008,57.1,35.01,9.57,13.26
1462,Denmark,2008,58.57,109.24,4.52,8.22
1463,Seychelles,2008,7.57,44.0,0.43,1.3
1464,Ukraine,2008,72.64,65.15,0.25,4.54
1465,Malaysia,2008,9.11,28.04,2.32,1.32
1466,Tuvalu,2008,9.71,62.14,0.97,1.94
1467,Bahrain,2008,9.84,25.48,1.66,1.06
1468,Togo,2007,0.47,4.0,0.02,0.02
1469,Cameroon,2007,0.73,4.56,0.02,0.02
1470,Gambia,2007,0.9,7.15,0.07,0.06
1471,Madagascar,2007,1.73,2.81,0.0,0.1
1472,Afghanistan,2007,1.82,5.18,0.32,0.12
1473,Brunei Darussalam,2007,10.6,51.63,1.13,2.18
1474,Mauritius,2007,11.23,25.99,2.58,1.8
1475,Trinidad and Tobago,2007,11.3,34.25,4.7,2.15
1476,Algeria,2007,11.95,19.28,2.17,3.11
1477,Syrian Arab Republic,2007,14.17,17.99,6.22,7.08
1478,Colombia,2007,15.11,7.54,0.92,10.36
1479,Türkiye,2007,15.32,20.05,3.39,2.73
1480,Bosnia and Herzegovina,2007,15.4,47.09,0.91,1.86
1481,United Arab Emirates,2007,15.41,32.69,6.0,3.41
1482,Singapore,2007,16.06,48.59,3.23,2.95
1483,Republic of Korea,2007,17.53,42.1,6.49,3.96
1484,Tajikistan,2007,18.61,34.58,1.43,1.44
1485,Kuwait,2007,18.79,43.19,2.96,3.39
1486,Oman,2007,19.1,40.44,3.56,2.04
1487,Montenegro,2007,19.47,53.54,1.66,3.92
1488,Cyprus,2007,19.74,34.34,1.57,6.74
1489,Bhutan,2007,2.12,8.03,0.15,0.1
1490,Thailand,2007,2.92,15.07,1.18,1.39
1491,Turkmenistan,2007,21.75,42.75,1.85,1.34
1492,Poland,2007,21.97,57.68,6.08,3.51
1493,Jordan,2007,22.38,27.65,11.85,7.16
1494,New Zealand,2007,22.98,97.95,6.84,4.44
1495,Kyrgyzstan,2007,23.01,57.39,0.16,1.92
1496,Lebanon,2007,23.09,14.31,9.63,8.67
1497,Romania,2007,23.09,60.75,5.27,5.56
1498,Slovenia,2007,23.9,77.75,4.84,6.13
1499,United Kingdom of Great Britain and Northern Ireland,2007,24.81,91.05,6.2,4.79
1500,Republic of Moldova,2007,26.2,60.56,4.33,3.99
1501,Armenia,2007,26.35,50.69,0.37,3.39
1502,Uzbekistan,2007,26.45,109.24,0.33,1.75
1503,Luxembourg,2007,27.11,111.62,7.12,8.04
1504,Croatia,2007,27.34,55.26,6.04,7.57
1505,Netherlands (Kingdom of the),2007,27.68,83.7,1.93,4.44
1506,Hungary,2007,28.09,61.22,5.46,4.0
1507,Serbia,2007,28.52,59.5,2.77,3.5
1508,Belgium,2007,29.05,97.19,11.58,7.23
1509,Bolivia (Plurinational State of),2007,3.27,6.0,0.34,0.62
1510,Sudan,2007,3.46,9.92,0.12,0.23
1511,Nigeria,2007,3.61,14.32,0.86,0.17
1512,Namibia,2007,3.83,28.49,1.18,0.45
1513,Andorra,2007,30.4,34.19,8.91,5.74
1514,Latvia,2007,31.43,57.49,5.73,6.65
1515,Malta,2007,32.53,60.88,10.59,4.2
1516,Estonia,2007,32.6,67.02,6.5,8.68
1517,France,2007,33.88,79.19,11.77,6.98
1518,Slovakia,2007,33.88,66.39,6.03,5.32
1519,Germany,2007,35.28,97.67,6.09,7.92
1520,Kazakhstan,2007,35.3,71.32,7.78,3.52
1521,Spain,2007,35.38,47.31,9.46,5.39
1522,Belarus,2007,35.5,100.14,3.13,5.0
1523,Israel,2007,35.58,54.81,6.18,8.19
1524,Czechia,2007,35.61,84.15,5.6,6.72
1525,Iceland,2007,36.12,147.77,5.13,9.43
1526,Sweden,2007,36.25,114.79,7.82,8.29
1527,Portugal,2007,36.57,51.28,5.96,6.44
1528,Azerbaijan,2007,36.69,81.37,1.82,2.86
1529,Finland,2007,37.29,98.78,10.16,7.44
1530,Italy,2007,37.52,54.76,9.32,5.68
1531,Switzerland,2007,37.88,136.06,6.22,5.21
1532,Ireland,2007,38.38,136.51,10.18,5.77
1533,Norway,2007,38.44,159.81,5.7,8.72
1534,Lithuania,2007,38.84,76.59,8.49,7.18
1535,Georgia,2007,40.99,41.03,0.83,3.02
1536,Austria,2007,45.62,64.25,6.34,5.59
1537,Russian Federation,2007,49.17,71.25,0.62,2.88
1538,Sri Lanka,2007,5.38,19.85,0.43,0.64
1539,Marshall Islands,2007,5.96,36.15,1.15,1.15
1540,Greece,2007,56.32,34.61,8.87,13.06
1541,Denmark,2007,56.71,108.73,4.57,8.4
1542,Ukraine,2007,71.98,65.48,0.24,4.54
1543,Malaysia,2007,8.79,26.03,1.69,1.17
1544,Seychelles,2007,9.95,44.92,0.44,1.75
1545,Gambia,2006,1.02,4.39,0.06,0.06
1546,Madagascar,2006,1.63,2.89,0.0,0.1
1547,Afghanistan,2006,1.66,4.58,0.33,0.13
1548,Brunei Darussalam,2006,10.94,54.02,1.12,2.06
1549,Trinidad and Tobago,2006,11.72,34.07,4.16,2.09
1550,Albania,2006,11.89,41.78,3.85,3.39
1551,United Arab Emirates,2006,14.07,29.63,7.27,2.71
1552,Bosnia and Herzegovina,2006,14.6,45.77,0.85,1.9
1553,Kuwait,2006,14.6,41.69,3.03,3.14
1554,Colombia,2006,14.69,7.18,0.86,10.08
1555,Türkiye,2006,14.92,18.15,3.3,2.62
1556,Singapore,2006,15.73,47.49,3.22,3.0
1557,Republic of Korea,2006,17.01,40.43,6.51,3.86
1558,Oman,2006,18.21,38.23,3.2,1.97
1559,Cyprus,2006,18.22,32.98,1.52,6.78
1560,Tajikistan,2006,18.8,34.4,1.3,1.4
1561,Montenegro,2006,19.42,52.42,1.75,4.15
1562,Thailand,2006,2.84,15.27,1.19,1.32
1563,Japan,2006,20.82,93.13,13.61,7.39
1564,Jordan,2006,21.36,30.83,10.46,7.15
1565,Poland,2006,21.83,56.54,5.93,3.3
1566,Niue,2006,22.22,83.33,5.56,16.67
1567,Romania,2006,22.31,60.16,4.71,5.03
1568,Turkmenistan,2006,22.36,44.74,1.8,1.37
1569,New Zealand,2006,22.73,93.97,6.7,4.09
1570,Slovenia,2006,23.66,76.49,4.7,6.0
1571,Kyrgyzstan,2006,23.76,58.35,0.25,1.93
1572,Qatar,2006,23.78,63.58,10.86,5.0
1573,North Macedonia,2006,24.83,34.16,4.35,5.62
1574,Armenia,2006,25.62,50.57,0.34,3.16
1575,Republic of Moldova,2006,25.73,59.39,4.08,3.76
1576,Luxembourg,2006,26.05,112.6,7.11,7.93
1577,Croatia,2006,26.07,54.12,5.91,7.48
1578,Uzbekistan,2006,26.62,108.29,0.27,1.8
1579,Netherlands (Kingdom of the),2006,27.7,82.7,1.91,4.27
1580,Serbia,2006,27.83,57.84,2.73,3.5
1581,Belgium,2006,28.86,95.97,11.48,7.35
1582,Nigeria,2006,3.33,14.37,0.84,0.15
1583,Sudan,2006,3.46,10.43,0.48,0.3
1584,Latvia,2006,30.28,58.32,6.05,6.49
1585,Hungary,2006,30.42,64.07,5.34,4.97
1586,Andorra,2006,30.65,32.54,9.05,5.78
1587,Slovakia,2006,31.69,63.46,5.64,5.05
1588,Estonia,2006,31.82,66.12,6.01,8.87
1589,Belarus,2006,33.93,99.92,3.05,4.84
1590,France,2006,34.06,78.37,11.57,7.03
1591,Germany,2006,34.65,95.84,5.96,7.82
1592,Azerbaijan,2006,35.32,81.81,1.92,2.79
1593,Sweden,2006,35.43,113.65,7.68,8.3
1594,Czechia,2006,35.51,84.33,5.67,6.73
1595,Kazakhstan,2006,35.72,70.23,8.72,3.49
1596,Portugal,2006,35.72,48.42,5.66,6.49
1597,Israel,2006,35.93,55.95,6.48,8.13
1598,Spain,2006,36.01,45.81,9.17,5.21
1599,Iceland,2006,36.03,145.02,11.35,9.41
1600,Ireland,2006,36.31,125.56,9.62,5.66
1601,Italy,2006,36.85,53.52,7.49,6.3
1602,Finland,2006,36.91,96.56,10.03,7.54
1603,Norway,2006,37.32,158.37,5.52,8.81
1604,Malta,2006,37.64,58.03,11.87,4.57
1605,Switzerland,2006,37.9,133.45,6.04,5.19
1606,Lithuania,2006,37.91,76.78,7.85,6.6
1607,Georgia,2006,40.55,41.87,0.85,3.11
1608,Austria,2006,44.77,63.54,6.28,5.4
1609,Russian Federation,2006,48.73,71.54,0.64,2.9
1610,Iran (Islamic Republic of),2006,5.15,16.24,0.98,1.3
1611,Greece,2006,54.1,34.76,8.93,12.87
1612,Denmark,2006,56.28,108.02,4.6,8.51
1613,Ukraine,2006,71.85,65.56,0.25,4.53
1614,Malaysia,2006,8.3,26.58,1.63,1.11
1615,Seychelles,2006,8.3,45.8,0.44,1.66
1616,Bahrain,2006,9.77,26.19,1.73,1.04
1617,Cameroon,2005,0.61,3.93,0.02,0.02
1618,Cote d'Ivoire,2005,0.85,4.48,0.06,0.1
1619,Gambia,2005,1.0,4.39,0.07,0.06
1620,Uganda,2005,1.2,13.46,0.06,0.04
1621,Madagascar,2005,1.72,3.35,0.0,0.1
1622,Solomon Islands,2005,1.84,14.37,1.1,1.08
1623,Comoros,2005,1.96,5.8,0.25,0.29
1624,Brunei Darussalam,2005,10.87,55.89,1.14,2.03
1625,Seychelles,2005,11.65,43.67,0.78,1.12
1626,China,2005,12.39,10.3,2.67,0.39
1627,Bosnia and Herzegovina,2005,14.09,44.75,0.81,1.76
1628,Colombia,2005,14.32,6.78,0.81,9.7
1629,Türkiye,2005,14.55,17.56,3.28,2.62
1630,United Arab Emirates,2005,14.94,29.51,5.98,3.03
1631,Syrian Arab Republic,2005,15.01,18.39,7.03,8.36
1632,Singapore,2005,15.81,47.25,3.12,2.99
1633,Republic of Korea,2005,16.37,38.99,6.4,3.71
1634,Oman,2005,17.0,37.71,3.06,1.82
1635,Barbados,2005,18.2,48.79,9.34,3.09
1636,Cyprus,2005,18.81,29.88,1.54,7.03
1637,Montenegro,2005,18.97,52.18,1.64,4.31
1638,Tajikistan,2005,19.17,33.96,1.23,1.43
1639,Nigeria,2005,2.7,14.72,0.83,0.15
1640,North Macedonia,2005,21.02,33.55,4.2,6.58
1641,New Zealand,2005,21.05,97.08,6.74,3.96
1642,Poland,2005,21.4,56.45,5.79,3.21
1643,Jordan,2005,21.41,28.9,11.78,6.96
1644,Romania,2005,22.34,58.17,4.37,4.82
1645,Slovenia,2005,23.5,75.2,4.46,6.0
1646,Turkmenistan,2005,23.56,46.55,1.95,1.5
1647,Kyrgyzstan,2005,24.35,61.31,0.23,1.99
1648,Republic of Moldova,2005,25.15,58.89,4.14,3.64
1649,Armenia,2005,25.43,49.47,0.32,3.19
1650,Luxembourg,2005,25.57,112.91,7.01,7.95
1651,Croatia,2005,25.73,53.26,5.75,7.46
1652,Qatar,2005,26.05,59.12,13.33,8.36
1653,Uzbekistan,2005,26.77,110.09,0.31,1.97
1654,Netherlands (Kingdom of the),2005,26.84,82.56,1.79,4.07
1655,Serbia,2005,27.57,58.13,2.67,4.46
1656,Australia,2005,27.64,97.07,7.34,4.96
1657,Hungary,2005,27.87,61.59,5.28,4.48
1658,Belgium,2005,28.71,94.66,11.34,7.34
1659,Latvia,2005,29.59,52.04,5.71,6.34
1660,Slovakia,2005,30.35,63.31,5.0,5.43
1661,Estonia,2005,31.42,65.8,6.27,8.78
1662,Andorra,2005,32.95,34.37,9.3,5.94
1663,Belarus,2005,33.26,99.32,3.0,4.71
1664,Malta,2005,34.04,56.74,21.39,4.72
1665,France,2005,34.13,76.43,11.47,7.07
1666,Germany,2005,34.13,94.58,5.86,7.75
1667,Sweden,2005,34.54,112.06,7.66,8.22
1668,Kazakhstan,2005,34.76,66.37,9.79,3.27
1669,Portugal,2005,35.02,45.85,5.46,5.93
1670,Spain,2005,35.21,44.85,8.52,5.04
1671,Ireland,2005,35.31,122.25,9.15,5.6
1672,Czechia,2005,35.39,84.78,5.6,6.72
1673,Azerbaijan,2005,35.57,81.86,2.02,2.78
1674,Norway,2005,35.63,155.12,5.25,8.43
1675,Iceland,2005,36.12,147.51,11.19,9.74
1676,Israel,2005,36.26,56.06,6.69,8.37
1677,Finland,2005,36.74,93.67,9.97,7.79
1678,Italy,2005,36.87,51.89,8.54,5.98
1679,Lithuania,2005,37.21,76.05,7.22,7.13
1680,Switzerland,2005,37.4,129.25,6.04,5.07
1681,Georgia,2005,39.91,43.31,0.84,3.39
1682,Austria,2005,43.48,61.97,6.17,5.14
1683,Russian Federation,2005,47.74,70.86,0.66,2.88
1684,Greece,2005,50.59,35.67,8.72,12.24
1685,Denmark,2005,55.12,107.54,4.61,8.57
1686,Malaysia,2005,7.78,25.38,1.55,1.07
1687,Ukraine,2005,70.66,65.44,0.25,4.56
1688,Iran (Islamic Republic of),2005,8.61,13.65,1.94,1.84
1689,Bahrain,2005,9.95,25.62,1.76,1.05
1690,Niger,2004,0.22,2.12,0.02,0.01
1691,Mozambique,2004,0.26,3.28,0.01,0.01
1692,Sierra Leone,2004,0.31,2.26,0.16,0.01
1693,Liberia,2004,0.33,3.28,0.09,0.01
1694,Chad,2004,0.35,2.52,0.03,0.01
1695,Benin,2004,0.38,7.1,0.01,0.01
1696,Togo,2004,0.43,3.4,0.09,0.03
1697,Burkina Faso,2004,0.52,4.86,0.17,0.04
1698,Senegal,2004,0.54,3.0,0.06,0.06
1699,Eritrea,2004,0.55,9.64,0.07,0.06
1700,Mali,2004,0.55,6.36,0.27,0.03
1701,Angola,2004,0.63,9.94,0.49,0.12
1702,Central African Republic,2004,0.79,3.85,0.04,0.01
1703,Uganda,2004,0.81,6.99,0.08,0.04
1704,Cote d'Ivoire,2004,1.06,5.2,0.4,0.17
1705,Mauritania,2004,1.09,6.6,0.22,0.16
1706,Madagascar,2004,1.49,2.73,0.0,0.09
1707,Djibouti,2004,1.56,3.58,0.22,0.12
1708,Eswatini,2004,1.59,63.62,0.43,0.16
1709,Equatorial Guinea,2004,1.7,3.01,0.13,0.06
1710,Bhutan,2004,1.81,7.92,0.11,0.15
1711,Comoros,2004,1.98,10.13,0.26,0.29
1712,Maldives,2004,10.02,29.4,8.0,0.33
1713,Mauritius,2004,10.43,36.84,2.29,1.34
1714,Philippines,2004,10.86,41.56,5.75,5.31
1715,Libya,2004,12.32,47.34,1.97,1.48
1716,Tunisia,2004,13.11,28.07,2.73,2.07
1717,Brunei Darussalam,2004,13.12,54.55,1.16,1.93
1718,Cook Islands,2004,13.25,52.98,1.33,6.62
1719,Bosnia and Herzegovina,2004,13.72,43.72,0.89,1.74
1720,Seychelles,2004,13.72,71.88,0.57,1.47
1721,Colombia,2004,13.91,6.36,0.75,9.22
1722,Syrian Arab Republic,2004,14.12,18.6,6.94,8.35
1723,Türkiye,2004,14.16,17.35,3.3,2.61
1724,Singapore,2004,15.56,46.32,3.09,2.94
1725,Republic of Korea,2004,15.77,38.58,6.26,3.58
1726,Oman,2004,16.1,36.37,2.9,1.73
1727,United Arab Emirates,2004,17.62,30.79,4.53,3.35
1728,Cyprus,2004,18.98,31.9,1.43,6.85
1729,Tajikistan,2004,19.14,34.6,1.14,1.43
1730,Nepal,2004,2.07,4.55,0.1,0.09
1731,Sudan,2004,2.47,10.31,0.44,0.23
1732,Gabon,2004,2.78,47.68,0.23,0.1
1733,Thailand,2004,2.89,14.78,1.13,0.63
1734,Japan,2004,20.29,89.61,12.86,7.25
1735,Niue,2004,21.05,115.79,5.26,10.53
1736,North Macedonia,2004,21.52,34.82,1.54,5.44
1737,New Zealand,2004,21.9,94.23,9.64,3.85
1738,Republic of Moldova,2004,22.47,53.38,4.01,3.47
1739,Romania,2004,22.5,56.7,4.0,4.43
1740,Poland,2004,22.91,55.09,5.85,3.7
1741,Slovenia,2004,23.02,74.35,4.2,5.98
1742,Luxembourg,2004,24.22,93.59,7.0,7.72
1743,Armenia,2004,24.43,48.26,0.29,2.34
1744,Turkmenistan,2004,24.79,49.64,1.99,1.56
1745,Kyrgyzstan,2004,24.8,63.9,0.25,2.04
1746,Croatia,2004,25.74,52.9,5.6,7.41
1747,Netherlands (Kingdom of the),2004,26.25,81.89,1.76,4.03
1748,Australia,2004,26.92,101.52,9.18,5.01
1749,United States of America,2004,27.11,102.97,7.62,5.8
1750,Uzbekistan,2004,27.26,107.1,0.3,2.02
1751,Ireland,2004,27.4,123.46,8.77,5.5
1752,Serbia,2004,27.72,60.03,2.66,4.73
1753,Belgium,2004,28.68,92.33,11.15,7.4
1754,Latvia,2004,29.16,50.82,5.48,6.04
1755,Yemen,2004,3.05,6.22,0.42,0.22
1756,Namibia,2004,3.08,31.64,1.0,0.42
1757,Botswana,2004,3.96,26.3,0.78,0.21
1758,Estonia,2004,30.23,65.42,6.19,8.19
1759,Slovakia,2004,31.51,66.49,4.93,4.35
1760,Andorra,2004,32.17,29.88,9.69,6.06
1761,Belarus,2004,32.99,98.08,2.98,4.58
1762,Hungary,2004,33.44,59.85,5.11,5.11
1763,Malta,2004,33.69,55.02,20.5,4.41
1764,Sweden,2004,33.73,110.09,7.63,8.27
1765,Germany,2004,33.92,92.94,5.83,7.73
1766,Norway,2004,34.01,150.86,5.11,8.05
1767,France,2004,34.13,74.63,11.22,7.08
1768,Portugal,2004,34.17,43.68,5.21,5.61
1769,Spain,2004,34.19,44.25,8.03,4.87
1770,Kazakhstan,2004,34.55,65.23,7.31,3.42
1771,Czechia,2004,34.99,84.86,5.53,6.67
1772,Azerbaijan,2004,35.4,81.52,2.04,2.73
1773,Lithuania,2004,36.27,75.71,6.81,6.49
1774,Finland,2004,36.53,89.9,10.2,7.93
1775,Italy,2004,36.67,53.27,9.11,5.67
1776,Israel,2004,36.7,55.32,6.45,8.97
1777,Switzerland,2004,36.96,127.3,6.04,4.98
1778,Georgia,2004,39.6,43.39,0.92,3.14
1779,Iceland,2004,41.92,144.52,10.99,9.82
1780,Austria,2004,42.32,61.29,6.11,5.03
1781,Russian Federation,2004,47.4,71.11,0.64,2.92
1782,Greece,2004,49.28,35.31,8.64,12.16
1783,Sri Lanka,2004,5.22,16.54,0.45,0.38
1784,Morocco,2004,5.34,8.12,2.41,1.03
1785,Denmark,2004,53.68,106.09,4.36,8.57
1786,Pakistan,2004,6.79,4.19,0.47,0.38
1787,South Africa,2004,7.11,7.2,2.27,1.14
1788,Malaysia,2004,7.22,23.78,1.39,1.01
1789,Ukraine,2004,70.24,64.96,0.24,4.52
1790,Iran (Islamic Republic of),2004,8.65,13.7,1.37,1.52
1791,Saint Vincent and the Grenadines,2004,8.95,44.68,3.19,1.15
1792,Nauru,2004,9.9,62.38,9.9,0.99
1793,Ethiopia,2003,0.26,1.93,0.02,0.01
1794,Lesotho,2003,0.45,5.66,0.02,0.02
1795,Gambia,2003,0.99,11.92,0.11,0.04
1796,Indonesia,2003,1.31,8.0,0.06,0.23
1797,Madagascar,2003,1.41,2.9,0.0,0.09
1798,Tuvalu,2003,10.31,51.55,2.06,2.06
1799,Albania,2003,11.86,36.04,3.53,4.33
1800,Bosnia and Herzegovina,2003,13.3,43.53,0.87,1.1
1801,Colombia,2003,13.52,5.99,0.72,8.66
1802,Syrian Arab Republic,2003,13.68,18.02,6.04,8.34
1803,Türkiye,2003,13.93,17.12,3.3,2.62
1804,Republic of Korea,2003,15.79,35.98,11.45,3.37
1805,United Arab Emirates,2003,18.38,35.02,4.36,3.04
1806,Cyprus,2003,18.51,30.7,1.07,6.71
1807,Tajikistan,2003,19.06,35.02,1.02,1.4
1808,Samoa,2003,2.7,16.72,1.08,0.54
1809,Romania,2003,20.07,55.74,3.53,4.18
1810,Niue,2003,21.05,89.47,5.26,10.53
1811,North Macedonia,2003,21.37,34.76,1.53,5.44
1812,Jordan,2003,21.55,28.19,11.03,6.05
1813,New Zealand,2003,21.77,90.77,9.74,3.93
1814,Slovenia,2003,22.51,73.8,4.06,6.04
1815,Republic of Moldova,2003,23.26,54.89,3.13,3.35
1816,Luxembourg,2003,23.77,91.88,7.11,6.49
1817,Poland,2003,24.34,52.99,6.65,2.9
1818,Armenia,2003,24.39,49.04,0.31,2.07
1819,Kyrgyzstan,2003,25.01,66.33,0.27,1.92
1820,Croatia,2003,25.12,51.95,5.45,7.16
1821,Turkmenistan,2003,25.51,75.46,2.55,2.02
1822,Finland,2003,25.64,270.583,16.46,9.53
1823,Ireland,2003,25.72,147.72,8.48,5.44
1824,Netherlands (Kingdom of the),2003,25.94,80.54,1.73,4.01
1825,Australia,2003,26.15,98.88,7.92,4.71
1826,Serbia,2003,27.07,58.34,2.47,4.63
1827,Uzbekistan,2003,27.86,107.91,0.3,2.09
1828,Latvia,2003,28.3,49.16,5.56,5.56
1829,Estonia,2003,29.96,64.3,5.66,8.22
1830,Malta,2003,30.72,53.75,19.6,4.09
1831,Democratic People's Republic of Korea,2003,30.97,38.78,3.03,1.64
1832,Slovakia,2003,31.48,68.02,4.72,4.35
1833,Spain,2003,32.0,44.13,7.58,4.71
1834,Norway,2003,32.3,146.75,5.06,8.13
1835,Sweden,2003,32.83,108.1,7.47,8.14
1836,Belarus,2003,33.03,96.61,2.96,4.4
1837,Portugal,2003,33.42,41.94,4.9,5.34
1838,Germany,2003,33.69,92.07,5.84,7.67
1839,France,2003,33.96,72.95,10.91,7.1
1840,Kazakhstan,2003,34.68,64.01,6.6,3.31
1841,Czechia,2003,35.09,84.06,5.47,6.57
1842,Andorra,2003,35.11,30.94,9.78,6.33
1843,Azerbaijan,2003,35.34,82.54,2.19,2.71
1844,Italy,2003,36.04,54.54,11.45,5.37
1845,Iceland,2003,36.15,143.79,10.95,9.95
1846,Switzerland,2003,36.58,128.54,6.23,4.91
1847,Lithuania,2003,36.69,76.54,6.65,6.72
1848,Israel,2003,36.99,56.64,6.1,9.48
1849,Hungary,2003,37.83,59.84,5.07,5.29
1850,Georgia,2003,39.7,43.92,0.91,3.45
1851,Fiji,2003,4.39,19.16,1.04,0.69
1852,Austria,2003,41.44,58.87,5.99,4.97
1853,Russian Federation,2003,47.05,70.96,0.65,2.93
1854,Denmark,2003,51.22,104.74,4.47,8.52
1855,Malaysia,2003,7.37,22.46,1.26,0.98
1856,Trinidad and Tobago,2003,7.75,29.73,3.92,1.86
1857,Ukraine,2003,70.05,64.8,0.26,4.52
1858,Ecuador,2003,8.08,15.23,0.37,1.66
1859,Mauritius,2003,9.44,23.82,2.25,1.24
1860,United Republic of Tanzania,2002,0.23,3.68,0.03,0.04
1861,Madagascar,2002,1.3,2.99,0.01,0.07
1862,Philippines,2002,10.88,41.8,5.58,5.2
1863,Algeria,2002,11.14,21.97,1.71,2.79
1864,Albania,2002,11.67,36.6,3.48,4.28
1865,Brunei Darussalam,2002,11.76,62.34,0.88,2.06
1866,Paraguay,2002,12.08,19.5,1.61,4.61
1867,Bosnia and Herzegovina,2002,13.0,40.09,0.89,1.64
1868,Colombia,2002,13.21,5.7,0.69,7.99
1869,Türkiye,2002,13.71,16.98,3.32,2.44
1870,Syrian Arab Republic,2002,14.35,19.18,5.76,8.36
1871,Republic of Korea,2002,15.0,36.39,11.24,3.3
1872,United Arab Emirates,2002,17.61,33.39,4.08,2.91
1873,Cyprus,2002,18.7,30.51,1.47,6.62
1874,Japan,2002,19.76,86.0,12.11,7.1
1875,Thailand,2002,2.95,13.18,1.14,0.7
1876,Tajikistan,2002,20.08,37.98,1.04,1.46
1877,Jordan,2002,20.86,26.72,10.62,4.24
1878,Romania,2002,21.04,56.69,3.26,3.84
1879,New Zealand,2002,21.24,93.89,9.77,3.93
